Year,County/State,ACTUAL_COUNT,Latitude,Longitude
2020,"DOUGLAS, Georgia",6,31.5088073,-82.8498654
2020,"DURHAM, North Carolina",1,35.9940329,-78.898619
2020,"EDWARDS, Texas",43,29.9282955,-100.439656
2020,"EFFINGHAM, Georgia",1,32.378148,-81.3839326
2020,"EL PASO, Texas",1,31.7618778,-106.4850217
2020,"ELLIS, Texas",3,32.2619765,-96.8350999
2020,"FAIRFAX, Virginia",1,38.8462236,-77.3063733
2020,"FAYETTE, West Virginia",1,38.0615913,-81.0754657
2020,"FLAGLER, Florida",1,29.4086072,-81.2518833
2020,"FLOYD, Georgia",22,34.2828967,-85.2308414
2020,"FORT BEND, Texas",6,29.5692614,-95.8142885
2020,"FRANKLIN, Kentucky",3,36.7187855,-86.5785573
2020,"FULTON, Georgia",1,33.8033965,-84.3962535
2020,"GALVESTON, Texas",1,29.3013479,-94.7976958
2020,"GENESEE, Michigan",20,43.0777289,-83.6773928
2020,"GOLIAD, Texas",1,28.6683252,-97.3883265
2020,"GREENVILLE, South Carolina",3,34.8526176,-82.3940104
2020,"HALL, Georgia",1,34.30778,-83.804868
2020,"HAMILTON, Tennessee",1,35.1618966,-85.1479364
2020,"HARDY, West Virginia",2,39.0416116,-78.9288242
2020,"HARFORD, Maryland",-1,39.5838964,-76.3637285
2020,"HARRIS, Texas",93,29.7751825,-95.3102505
2020,"HAYWOOD, North Carolina",2,35.624394,-82.9931607
2020,"HENNEPIN, Minnesota",1,45.0208911,-93.5094574
2020,"HENRICO, Virginia",25,37.5059332,-77.3324425
2020,"HERNANDO, Florida",1,28.8999815,-82.3745401
2020,"HILLSBOROUGH, Florida",25,27.9903597,-82.3017728
2020,"HILLSDALE, Michigan",1,41.9200472,-84.6305101
2020,"HOPKINS, Texas",1,33.2282942,-95.4777811
2020,"HORRY, South Carolina",3,33.9196567,-78.9288242
2020,"HOWARD, Maryland",7,39.2873463,-76.964306
2020,"INGHAM, Michigan",2,42.6468943,-84.3542049
2020,"JACKSON, Michigan",1,42.245869,-84.4013462
2020,"JASPER, Missouri",1,37.3361642,-94.301336
2020,"JEFFERSON, Louisiana",1,29.9660371,-90.1531298
2020,"KANAWHA, West Virginia",10,38.2556905,-81.4278984
2020,"KENT, Michigan",1,43.0097027,-85.520024
2020,"KOSCIUSKO, Indiana",1,41.2864679,-85.8486236
2020,"LAKE OF THE WOODS, Minnesota",1,48.6943855,-94.9265474
2020,"LANCASTER, South Carolina",2,34.7204257,-80.7709014
2020,"LEE, Florida",14,30.4196584,-83.3004216
2020,"LEWIS, West Virginia",2,39.0196167,-80.543845
2020,"LEXINGTON, South Carolina",4,33.9815369,-81.2362107
2020,"LINCOLN, West Virginia",1,38.1761009,-82.0842901
2020,"LOGAN, West Virginia",2,37.8487147,-81.9934581
2020,"LOWNDES, Georgia",10,30.8600022,-83.2934086
2020,"MACOMB, Michigan",2,42.6651965,-82.9286428
2020,"MARATHON, Wisconsin",2,44.850452,-89.8505012
2020,"MARSHALL, West Virginia",2,38.4236242,-82.4247401
2020,"MASON, West Virginia",3,39.021745,-82.0290296
2020,"MCDONALD, Missouri",1,36.617812,-94.315422
2020,"MCLEAN, North Dakota",1,47.6185079,-101.131122
2020,"MERCER, West Virginia",1,37.4322638,-81.1196075
